Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, Iasi, October 2019, Percentage, 2.9
Total, Iasi, November 2019, Percentage, 2.8
Total, Iasi, December 2019, Percentage, 2.7
Total, Iasi, January 2020, Percentage, 2.7
Total, Iasi, February 2020, Percentage, 2.7
Total, Iasi, March 2020, Percentage, 2.6
Total, Iasi, April 2020, Percentage, 2.7
Total, Iasi, May 2020, Percentage, 2.7
Total, Iasi, June 2020, Percentage, 2.8
Total, Iasi, July 2020, Percentage, 3
Total, Iasi, August 2020, Percentage, 3.1
Total, Iasi, September 2020, Percentage, 3.1
Total, Iasi, October 2020, Percentage, 3
Total, Iasi, November 2020, Percentage, 3.1
Total, Iasi, December 2020, Percentage, 3.1
Total, Neamt, January 2019, Percentage, 4.7
Total, Neamt, February 2019, Percentage, 4.6
Total, Neamt, March 2019, Percentage, 4.3
Total, Neamt, April 2019, Percentage, 4
Total, Neamt, May 2019, Percentage, 3.8
Total, Neamt, June 2019, Percentage, 4
Total, Neamt, July 2019, Percentage, 4.3
Total, Neamt, August 2019, Percentage, 4.3
Total, Neamt, September 2019, Percentage, 4.2
Total, Neamt, October 2019, Percentage, 4.1
Total, Neamt, November 2019, Percentage, 4
Total, Neamt, December 2019, Percentage, 4
Total, Neamt, January 2020, Percentage, 4.2
Total, Neamt, February 2020, Percentage, 4.2
Total, Neamt, March 2020, Percentage, 4.1
Total, Neamt, April 2020, Percentage, 4
Total, Neamt, May 2020, Percentage, 3.2
Total, Neamt, June 2020, Percentage, 3.5
Total, Neamt, July 2020, Percentage, 4.4
Total, Neamt, August 2020, Percentage, 4.5
Total, Neamt, September 2020, Percentage, 4.6
Total, Neamt, October 2020, Percentage, 4.3
Total, Neamt, November 2020, Percentage, 4.2
Total, Neamt, December 2020, Percentage, 5
Total, Suceava, January 2019, Percentage, 5.2
Total, Suceava, February 2019, Percentage, 5.2
Total, Suceava, March 2019, Percentage, 4.9
Total, Suceava, April 2019, Percentage, 4.6
Total, Suceava, May 2019, Percentage, 4.3
Total, Suceava, June 2019, Percentage, 4.6
Total, Suceava, July 2019, Percentage, 5
Total, Suceava, August 2019, Percentage, 5
Total, Suceava, September 2019, Percentage, 4.9
Total, Suceava, October 2019, Percentage, 4.8
Total, Suceava, November 2019, Percentage, 4.8
Total, Suceava, December 2019, Percentage, 4.8
Total, Suceava, January 2020, Percentage, 4.7
Total, Suceava, February 2020, Percentage, 4.7
Total, Suceava, March 2020, Percentage, 4.5
Total, Suceava, April 2020, Percentage, 4.4
Total, Suceava, May 2020, Percentage, 4.4
Total, Suceava, June 2020, Percentage, 4.6
Total, Suceava, July 2020, Percentage, 5
Total, Suceava, August 2020, Percentage, 5.1
Total, Suceava, September 2020, Percentage, 5
Total, Suceava, October 2020, Percentage, 5.2
Total, Suceava, November 2020, Percentage, 5.2
Total, Suceava, December 2020, Percentage, 5.1
Total, Vaslui, January 2019, Percentage, 8.7
Total, Vaslui, February 2019, Percentage, 8.6
Total, Vaslui, March 2019, Percentage, 8.3
Total, Vaslui, April 2019, Percentage, 7.8
Total, Vaslui, May 2019, Percentage, 7.7
Total, Vaslui, June 2019, Percentage, 7.5
Total, Vaslui, July 2019, Percentage, 7.8
Total, Vaslui, August 2019, Percentage, 7.7
Total, Vaslui, September 2019, Percentage, 7.7
Total, Vaslui, October 2019, Percentage, 7.4
Total, Vaslui, November 2019, Percentage, 7.3
Total, Vaslui, December 2019, Percentage, 7.5
Total, Vaslui, January 2020, Percentage, 7.7
Total, Vaslui, February 2020, Percentage, 7.6
Total, Vaslui, March 2020, Percentage, 7.2
Total, Vaslui, April 2020, Percentage, 6.3
Total, Vaslui, May 2020, Percentage, 5.9
Total, Vaslui, June 2020, Percentage, 5.2
Total, Vaslui, July 2020, Percentage, 5.8
Total, Vaslui, August 2020, Percentage, 6.2
Total, Vaslui, September 2020, Percentage, 6.5
Total, Vaslui, October 2020, Percentage, 6.7
Total, Vaslui, November 2020, Percentage, 6.6
