,05/01/2020,12/01/2020,19/01/2020,26/01/2020,02/02/2020,09/02/2020,16/02/2020,23/02/2020,01/03/2020,08/03/2020,15/03/2020,22/03/2020,29/03/2020,05/04/2020,12/04/2020,19/04/2020,26/04/2020,03/05/2020,10/05/2020,17/05/2020,24/05/2020,31/05/2020,07/06/2020,14/06/2020,21/06/2020,28/06/2020,05/07/2020,12/07/2020,19/07/2020,26/07/2020,02/08/2020,09/08/2020,16/08/2020,23/08/2020,30/08/2020,06/09/2020,13/09/2020,20/09/2020,27/09/2020,04/10/2020,11/10/2020,18/10/2020,25/10/2020,01/11/2020,08/11/2020,15/11/2020,22/11/2020,29/11/2020,06/12/2020,13/12/2020,20/12/2020,27/12/2020,03/01/2021,10/01/2021,17/01/2021,24/01/2021,31/01/2021,07/02/2021,14/02/2021,21/02/2021,28/02/2021,07/03/2021,14/03/2021,21/03/2021,28/03/2021,04/04/2021,11/04/2021,18/04/2021,25/04/2021,02/05/2021,09/05/2021,16/05/2021,23/05/2021,30/05/2021,06/06/2021,13/06/2021,20/06/2021,27/06/2021,04/07/2021,11/07/2021,18/07/2021,25/07/2021,01/08/2021,08/08/2021,15/08/2021,22/08/2021,29/08/2021,05/09/2021,12/09/2021,19/09/2021,26/09/2021,03/10/2021,10/10/2021,17/10/2021,24/10/2021,31/10/2021,07/11/2021,14/11/2021,21/11/2021,28/11/2021,05/12/2021,12/12/2021,19/12/2021,26/12/2021,02/01/2022,09/01/2022,16/01/2022,23/01/2022,30/01/2022
ITG1,,,,,,,,,0,0,2,6,57,51,47,37,28,14,14,11,2,5,3,2,1,1,1,1,0,0,0,1,1,1,0,3,1,6,12,11,17,29,63,90,158,220,290,320,253,208,188,143,196,234,261,237,252,204,166,151,139,97,109,86,153,114,341,124,130,131,137,103,76,80,54,32,31,29,16,11,14,18,23,39,55,78,95,131,132,116,92,61,46,45,49,31,31,42,56,45,43,48,67,78,100,155,233,266,290
ITI1,,,,,,,,,0,0,8,83,124,110,170,142,141,94,70,42,29,28,29,15,10,8,11,8,7,2,4,2,1,1,2,2,6,3,5,9,8,20,68,101,198,318,337,385,266,284,288,149,142,125,117,123,107,116,113,115,122,126,147,154,171,188,208,190,188,179,163,144,99,81,52,58,31,14,14,14,9,5,10,16,21,25,30,26,29,45,37,38,26,25,20,28,26,26,37,31,24,31,33,29,52,83,199,183,181
ITI2,,,,,,,,,0,0,1,15,15,12,9,6,6,4,3,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,4,13,30,53,65,80,61,66,66,41,37,27,29,33,47,41,53,70,79,67,50,52,57,38,19,30,26,22,13,13,7,12,12,2,14,1,1,2,3,0,0,0,0,2,1,2,5,4,3,7,2,5,1,5,3,4,6,4,5,11,2,2,3,7,18,34,33,27
ITC2,,,,,,,,,0,0,1,8,34,48,21,13,8,7,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,31,43,37,26,22,20,15,6,12,3,5,7,3,5,4,1,1,2,0,2,1,8,8,3,12,8,3,5,4,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,1,3,4,0,1,3,4,5,5
ITH3,,,,,,,,,1,16,45,106,223,239,225,231,228,201,141,137,75,49,36,24,24,6,15,16,11,14,11,8,13,8,16,10,12,20,14,18,24,38,75,89,156,271,376,456,533,591,633,604,725,626,589,581,372,350,217,214,135,121,138,242,180,210,203,163,131,130,58,62,43,31,21,20,3,11,7,2,8,4,14,8,7,12,17,17,19,20,19,20,14,8,15,14,19,27,32,40,56,52,115,112,126,151,166,213,195
IE,,,,,,,,,0,0,2,2,42,112,177,277,303,215,162,100,71,52,34,35,14,22,12,10,8,11,1,10,2,6,0,1,8,10,10,17,17,26,30,33,33,34,45,31,49,28,34,46,57,87,268,365,340,382,286,192,185,105,113,56,81,52,71,54,43,35,24,21,0,0,0,0,38,10,11,6,12,8,9,9,15,15,18,20,43,24,30,40,31,26,63,67,56,74,43,43,55,,,,,,,,
PT11,,,,,,,,,0,0,0,5,56,97,122,129,110,78,51,45,45,46,22,6,2,2,3,3,5,1,0,4,8,3,6,0,5,17,10,12,23,43,63,109,175,257,259,275,296,266,239,185,178,202,255,359,424,316,215,119,55,48,27,8,11,7,14,9,7,3,5,4,3,2,2,3,2,2,5,6,7,22,25,24,17,13,23,12,15,12,5,9,15,9,13,3,3,19,7,16,10,,,,,,,,
PT15,,,,,,,,,0,0,0,1,1,5,2,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1,23,3,2,4,8,7,6,4,5,1,8,15,31,46,45,50,40,28,11,5,4,3,2,1,1,1,1,2,1,2,1,0,0,1,1,0,0,4,6,9,8,8,11,9,10,18,3,2,5,8,5,4,3,1,3,7,8,7,13,,,,,,,,
PT16,,,,,,,,,0,0,0,4,24,44,48,44,24,21,7,5,16,7,6,2,2,0,2,2,1,1,0,1,0,0,0,1,0,2,6,3,7,5,14,26,39,66,77,65,79,109,114,79,85,139,233,363,436,320,209,114,61,42,23,16,12,2,3,3,5,4,1,2,2,1,4,0,2,0,0,3,5,4,4,13,4,12,19,13,14,10,13,8,8,12,7,5,9,15,20,22,15,,,,,,,,
PT17,,,,,,,,,0,0,0,4,24,30,33,35,49,35,33,30,43,41,41,29,9,29,39,36,22,24,20,11,14,15,17,20,21,24,25,36,41,51,46,77,119,146,152,163,143,192,194,186,180,249,446,699,962,855,597,343,201,115,84,53,37,31,19,15,6,2,8,7,3,1,5,9,12,16,21,30,31,43,36,48,50,36,29,29,27,18,18,8,16,13,9,12,25,11,20,37,22,,,,,,,,
PT18,,,,,,,,,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,8,5,1,2,1,0,0,0,0,0,0,1,0,1,2,1,9,13,16,11,20,18,11,20,19,30,45,76,85,135,132,127,91,37,25,11,5,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,4,2,4,12,6,1,4,3,4,6,6,3,16,4,1,4,0,2,3,4,,,,,,,,
PT20,,,,,,,,,0,0,0,0,0,0,4,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,3,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,2,2,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,,,,,,,,
PT30,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,4,2,4,8,6,11,7,9,0,2,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6,11,10,,,,,,,,
NL13,,,,,,,,,0,0,0,1,2,8,3,9,5,4,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,7,5,7,9,8,7,9,4,1,4,13,7,34,35,24,9,14,14,5,14,17,9,2,2,6,10,3,3,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,0,6,5,3,3,12,6,9,5,3,5,3,6,1,1
NL23,,,,,,,,,0,0,0,1,4,9,8,4,16,13,16,11,0,6,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,3,1,1,1,3,5,6,5,5,10,9,4,2,4,3,6,13,11,5,3,3,6,5,6,3,5,0,1,0,3,3,1,4,3,1,2,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,1,0,1,7,3,1,3,7,3,5,9,6,6,6,1,3,1,2
NL12,,,,,,,,,0,0,0,1,3,11,9,16,12,6,1,1,2,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,5,7,8,20,10,9,5,5,8,23,13,21,24,23,35,35,39,21,21,9,14,6,8,5,4,1,3,5,4,2,1,0,1,1,1,0,1,0,1,3,0,3,0,0,1,0,1,0,0,0,2,3,3,2,2,8,7,11,17,22,10,6,1,4,0,2
NL22,,,,,,,,,0,0,1,7,66,123,114,108,103,66,37,20,10,9,5,4,6,1,4,0,2,0,0,0,1,2,1,2,2,1,4,9,10,23,34,33,85,62,45,45,36,39,46,63,89,86,93,88,58,50,44,38,32,29,11,16,21,18,13,19,19,17,17,13,11,9,4,3,0,3,0,1,0,2,3,6,12,7,6,9,7,6,3,7,8,4,12,15,26,29,48,75,77,63,62,42,18,23,11,7,6
NL11,,,,,,,,,0,0,0,0,1,4,3,1,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,2,4,4,9,4,2,2,6,4,6,13,23,20,6,15,7,13,10,12,9,8,6,8,3,8,6,3,3,8,3,2,1,3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,2,0,2,4,4,14,11,10,7,4,6,5,4,1,1
NL42,,,,,,,,,0,0,3,35,95,136,151,94,75,55,36,26,17,12,6,7,2,1,0,0,4,1,1,0,0,1,1,1,1,2,1,4,4,7,12,10,21,20,16,26,23,24,24,45,40,113,53,54,34,35,46,27,28,26,19,19,15,15,9,18,18,18,18,15,11,8,8,5,3,2,0,1,0,1,5,4,2,2,9,5,2,4,2,7,5,4,11,21,24,24,43,39,47,63,33,18,30,9,8,5,2
NL41,,,,,,,,,0,1,11,90,238,318,238,225,172,90,60,32,15,18,8,6,6,3,3,1,2,0,2,4,4,2,0,4,0,1,6,6,19,26,49,78,84,98,63,55,51,70,92,84,75,72,62,65,55,62,52,58,38,27,38,26,24,17,19,17,12,15,18,12,12,9,6,3,3,2,1,0,0,3,2,1,3,3,4,4,3,5,3,2,1,7,9,9,20,24,31,46,58,58,57,25,18,16,9,11,3
NL32,,,,,,,,,0,0,0,7,57,129,138,136,98,89,63,47,17,17,5,5,4,2,0,2,0,1,0,1,4,4,3,3,3,8,15,15,26,22,44,62,78,71,56,55,45,61,86,83,109,125,89,54,74,51,66,73,56,31,34,29,43,37,30,18,17,16,21,34,13,11,18,10,4,2,2,2,6,3,10,9,6,15,11,14,9,7,6,5,3,9,6,5,15,20,29,40,48,64,59,45,39,22,7,11,16
NL21,,,,,,,,,0,0,0,4,28,63,55,36,53,29,12,9,7,7,1,1,0,1,1,1,4,0,0,0,0,1,2,0,0,0,28,3,7,10,21,23,36,35,31,23,22,20,20,53,55,92,74,42,40,30,19,20,20,0,10,10,14,4,7,15,6,6,7,6,4,4,5,1,4,0,2,0,0,3,1,1,2,2,1,2,3,3,4,3,0,1,3,9,13,15,16,23,18,27,18,17,14,7,1,2,3
NL31,,,,,,,,,0,0,0,6,34,70,69,76,52,42,22,19,9,7,9,4,1,2,2,3,1,0,1,3,0,0,3,2,0,0,5,9,9,8,14,38,49,47,29,35,43,31,37,42,53,48,44,16,22,20,39,36,22,25,17,5,7,12,12,8,17,9,16,5,7,4,2,3,0,0,0,1,0,1,2,3,3,2,3,3,2,2,2,0,1,2,3,7,7,5,8,15,9,43,26,20,14,12,3,3,5
NL34,,,,,,,,,0,0,0,3,5,18,12,8,6,1,6,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,2,2,2,3,10,5,3,1,9,4,12,7,8,6,7,2,6,4,8,6,17,6,12,3,7,1,3,0,2,5,4,2,1,1,0,0,0,0,0,2,0,0,0,1,2,0,0,1,3,1,0,1,0,2,3,2,3,4,9,6,3,5,58,1,3,2,3
NL33,,,,,,,,,0,1,0,7,44,95,168,232,198,185,127,68,62,47,23,20,10,6,6,8,3,3,4,1,6,15,8,9,4,12,29,25,42,53,99,117,178,119,115,185,78,102,112,97,127,134,139,149,123,92,86,87,90,72,63,68,39,30,33,39,32,26,37,27,25,27,8,7,2,5,10,4,4,7,2,12,9,9,8,2,5,12,12,5,3,10,10,17,32,39,34,72,51,74,56,55,29,23,16,13,18
UKF,,,,,,,,,,1,3,28,122,316,423,369,323,292,238,166,161,122,99,87,60,53,25,18,17,14,6,4,6,3,5,5,8,6,18,20,27,72,127,184,237,289,343,352,341,309,337,319,329,421,626,592,569,463,354,275,170,119,108,56,49,21,21,13,11,2,2,4,8,2,5,3,7,4,13,8,20,29,36,41,48,64,67,76,82,55,83,60,56,75,78,85,79,74,91,75,83,63,8,,,,,,
UKH,,,,,,,,,,1,5,36,215,515,672,564,490,404,294,225,197,147,100,60,47,42,36,25,17,10,6,3,4,6,3,3,1,5,9,16,28,31,73,110,122,142,152,169,192,248,346,506,685,1019,1261,1246,958,687,458,321,184,116,64,47,27,19,8,11,9,8,8,3,2,4,4,5,4,3,2,14,13,31,33,40,52,62,63,77,76,85,51,37,46,55,85,111,84,84,91,70,71,51,9,,,,,,
UKI,,,,,,,,,,,37,235,773,1326,1357,942,587,346,224,109,81,54,34,28,11,9,10,12,4,2,6,1,4,5,1,5,5,15,22,32,41,44,79,98,120,127,183,217,197,223,315,556,881,1229,1358,1244,839,594,347,266,116,90,46,28,23,14,13,8,9,10,7,5,3,7,6,9,11,11,16,13,23,48,62,66,74,87,78,81,82,65,69,89,65,54,64,83,87,83,53,73,76,72,10,,,,,,
UKC,,,,,,,,,,,1,14,46,258,333,276,263,240,183,174,129,82,57,27,17,17,2,0,2,0,0,0,2,2,2,2,3,15,38,53,78,104,123,152,148,188,214,206,148,146,161,177,178,214,257,273,264,226,156,123,73,52,34,16,10,10,8,4,1,2,2,4,1,0,2,1,0,5,8,22,24,52,52,60,35,49,43,40,45,66,62,47,41,48,58,56,61,62,41,35,37,32,3,,,,,,
UKD,,,,,,,,,,1,10,57,225,676,984,937,743,576,466,336,268,212,188,125,88,84,42,38,27,20,16,29,18,20,17,16,35,44,87,136,201,307,425,565,619,614,562,454,407,388,338,408,450,616,792,932,896,686,593,387,259,160,105,79,56,32,24,20,18,8,6,13,9,14,16,13,41,42,56,62,86,93,110,93,96,83,110,101,128,126,98,85,102,118,137,156,147,135,140,99,85,82,9,,,,,,
UKJ,,,,,,,,,,4,16,93,289,606,796,671,638,417,329,271,213,158,127,82,57,57,39,39,30,21,18,9,9,3,8,6,6,10,12,24,22,33,72,105,127,205,246,307,325,394,520,773,924,1277,1671,1656,1286,791,528,371,226,149,96,58,29,32,14,8,10,6,7,2,1,1,2,8,4,6,5,16,22,35,49,53,30,71,76,68,100,67,67,55,58,67,77,115,126,96,96,91,94,67,9,,,,,,
UKK,,,,,,,,,,,3,25,93,215,310,295,246,185,171,74,70,65,43,19,13,7,7,1,5,2,1,1,2,5,3,2,3,5,5,8,11,28,35,71,88,106,195,189,170,180,179,188,227,326,514,644,606,421,278,173,107,50,42,23,9,9,9,8,10,11,5,0,2,0,0,1,1,4,8,5,20,28,34,36,30,62,72,64,71,63,55,55,52,59,76,94,88,78,74,74,66,52,11,,,,,,
UKG,,,,,,,,,,1,16,92,337,705,753,648,528,391,289,227,168,119,77,52,47,43,25,16,3,11,3,6,3,0,8,1,10,24,37,40,48,68,112,181,263,307,382,387,383,369,353,379,398,622,796,904,802,611,471,342,239,144,93,70,30,23,8,13,12,7,7,7,3,9,7,4,7,8,16,26,32,47,55,54,81,71,102,102,101,87,71,64,70,86,90,106,99,93,78,82,75,67,5,,,,,,
UKE,,,,,,,,,,,3,13,106,324,454,489,454,413,344,233,188,173,123,83,47,47,34,19,14,16,7,9,6,9,7,9,14,21,22,35,79,122,222,301,426,491,463,458,384,346,310,310,323,334,405,408,388,336,310,232,158,110,104,69,38,36,35,33,18,13,16,10,2,8,3,6,10,8,12,17,40,60,68,76,96,73,91,114,112,84,86,71,85,114,110,126,129,104,91,82,73,58,12,,,,,,
UKN,,,,,,,,,,0,0,3,28,53,74,75,100,76,44,33,31,13,6,4,4,5,4,2,0,0,0,1,2,0,2,4,5,7,1,6,9,27,37,70,66,78,70,63,63,67,76,88,81,98,160,116,112,77,54,40,22,19,19,9,5,9,10,6,7,4,1,4,1,1,1,1,0,0,1,3,4,10,28,27,29,56,45,61,40,49,40,22,22,30,44,45,47,37,46,34,8,,,,,,,,
UKM,,,,,,,,,,0,2,22,94,283,388,313,336,310,269,221,133,83,37,23,20,10,3,0,0,1,0,0,0,3,1,3,1,9,13,20,54,94,124,199,224,260,216,209,192,172,209,227,252,308,385,447,360,304,266,214,120,85,55,38,32,14,17,7,9,5,0,2,3,6,5,8,17,21,21,56,51,47,53,42,40,37,47,73,123,153,154,138,114,126,122,112,124,82,71,80,9,,,,,,,,
UKL,,,,,,,,,,0,0,17,77,170,230,230,172,130,112,94,66,70,54,39,27,28,18,6,4,7,17,15,5,3,1,3,2,7,13,29,44,47,100,124,162,188,172,174,157,184,262,256,336,284,307,247,201,179,136,102,81,55,36,24,10,10,8,10,5,3,6,3,5,2,1,1,2,2,3,4,10,13,15,11,21,10,25,38,52,65,41,65,51,67,68,69,64,63,53,40,5,,,,,,,,
SE214,,,,,,,,,,,,0,0,0,0,1,0,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,4,3,3,3,6,3,4,1,2,0,1,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
SE312,,,,,,,,,,,,0,4,12,21,26,16,22,10,17,1,14,4,4,2,4,0,3,5,6,0,8,1,0,0,0,0,0,3,0,2,4,0,2,1,0,3,1,8,3,16,2,6,34,19,12,7,2,3,1,1,1,1,1,3,0,6,3,7,3,3,1,5,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,2,1,0,,,,,,,,,,,,,,
SE125,,,,,,,,,,,,0,0,4,12,14,48,11,14,20,3,9,13,4,6,3,9,5,0,3,1,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,3,1,13,27,8,3,19,7,18,9,5,10,2,13,2,0,4,0,2,0,6,1,1,3,2,0,0,2,0,1,0,2,0,3,0,0,0,0,0,1,1,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,
SE332,,,,,,,,,,,,0,1,0,6,8,13,5,4,3,0,3,5,8,4,0,7,3,0,11,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,4,10,10,10,6,0,11,11,16,17,17,7,4,2,6,4,6,2,2,6,4,0,3,4,2,4,3,5,1,0,2,0,0,0,1,0,1,0,0,3,0,1,1,1,11,0,4,0,,,,,,,,,,,,,,
SE213,,,,,,,,,,,,0,1,0,3,2,4,2,4,9,4,6,4,2,1,8,7,1,3,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,5,10,13,3,6,0,18,34,8,13,13,19,0,7,2,1,0,5,0,1,0,0,12,5,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,,,,,,,,,,,,,,
SE313,,,,,,,,,,,,0,0,4,23,9,12,13,15,10,10,7,9,6,3,6,6,7,12,7,1,1,1,0,1,0,0,4,0,1,2,0,0,1,0,1,2,15,15,26,37,30,24,52,65,14,12,9,11,5,7,5,4,7,8,7,11,3,6,1,4,1,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
SE124,,,,,,,,,,,,0,0,1,4,15,32,10,24,20,17,12,8,7,11,4,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,2,7,9,3,5,4,8,7,14,10,16,11,9,0,4,3,3,1,5,0,3,12,2,6,4,2,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,0,,,,,,,,,,,,,,
SE221,,,,,,,,,,,,0,0,1,0,1,0,0,0,1,1,0,1,2,4,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,2,0,3,7,0,11,8,14,15,7,18,6,1,1,2,1,1,2,0,1,2,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
SE321,,,,,,,,,,,,0,0,2,6,7,12,16,8,10,10,13,5,9,4,9,6,2,3,6,4,4,0,0,1,2,1,0,0,0,1,0,0,0,1,2,2,6,8,18,15,31,5,30,43,20,35,21,13,6,11,9,4,6,2,4,5,3,8,13,2,5,2,0,3,4,0,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
SE331,,,,,,,,,,,,0,0,0,5,5,3,2,2,2,4,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,12,4,7,4,6,13,9,9,13,1,4,4,4,9,6,8,8,7,3,2,7,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,3,3,0,,,,,,,,,,,,,,
SE212,,,,,,,,,,,,0,0,0,1,7,6,9,10,6,11,15,11,8,2,8,3,3,2,0,1,0,1,3,1,1,0,7,6,0,15,2,1,2,14,9,8,4,6,6,10,10,18,19,21,26,7,11,3,2,5,3,2,0,1,0,0,2,3,1,5,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,,,,,,,,,,,
SE122,,,,,,,,,,,,0,11,34,38,42,28,18,17,12,10,14,4,5,3,2,6,3,1,6,1,0,0,1,1,0,1,0,0,0,0,1,0,2,2,2,7,4,11,5,12,6,4,20,25,14,11,6,5,6,6,4,4,1,5,6,0,15,3,7,5,1,1,8,2,4,0,1,2,3,0,0,4,0,0,0,1,1,0,2,0,0,1,0,0,,,,,,,,,,,,,,
SE322,,,,,,,,,,,,0,0,0,0,1,10,0,3,3,8,7,2,5,4,5,6,0,5,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,15,0,14,0,1,0,0,13,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,,,,,,,,,,,,,,
SE123,,,,,,,,,,,,0,4,8,22,24,33,27,29,12,6,25,8,11,6,9,0,0,15,0,21,1,1,1,0,12,0,2,0,1,0,1,0,34,5,5,15,11,15,29,18,9,2,36,34,14,33,36,21,12,6,8,10,2,3,4,6,10,6,6,8,1,7,8,1,3,0,2,0,2,0,0,0,0,0,1,2,0,1,5,6,2,2,1,0,,,,,,,,,,,,,,
SE311,,,,,,,,,,,,0,1,0,0,2,2,5,7,6,4,4,6,12,9,8,3,1,3,2,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,1,3,4,8,6,12,6,6,4,14,9,7,5,1,1,4,4,6,3,2,3,1,5,5,2,2,6,3,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,3,1,1,1,0,0,,,,,,,,,,,,,,
SE121,,,,,,,,,,,,0,3,6,21,11,29,24,26,22,11,16,15,8,13,14,7,8,4,1,0,0,2,0,1,0,0,1,0,0,0,2,2,8,2,5,16,15,13,22,13,11,0,36,29,19,11,11,9,9,3,2,4,4,5,7,2,3,7,7,4,6,3,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3,2,0,0,0,,,,,,,,,,,,,,
SE231,,,,,,,,,,,,0,1,10,4,8,6,6,7,3,6,2,4,3,2,9,1,3,3,0,1,0,0,2,0,0,1,1,1,3,1,1,0,0,0,6,4,10,2,7,8,8,6,10,22,23,25,18,16,8,9,4,5,5,2,3,7,4,7,3,1,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,0,0,,,,,,,,,,,,,,
SE211,,,,,,,,,,,,0,6,7,12,13,13,21,21,20,8,17,6,8,3,12,2,7,2,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,5,4,7,23,19,19,22,14,35,23,44,28,27,21,12,12,11,7,9,1,11,6,6,3,2,3,3,2,0,1,1,0,0,4,1,0,0,0,0,1,1,2,0,0,1,3,2,0,0,0,0,,,,,,,,,,,,,,
SE232,,,,,,,,,,,,0,4,14,32,31,81,62,72,97,89,76,52,45,32,63,20,27,20,19,10,4,3,4,3,3,2,3,1,4,2,2,3,5,10,21,33,31,60,50,61,5,109,139,174,151,92,120,60,60,33,35,22,23,28,21,25,29,16,11,21,16,13,13,14,6,0,13,5,1,4,1,0,0,0,2,2,1,0,14,3,11,6,6,0,,,,,,,,,,,,,,
SE224,,,,,,,,,,,,0,7,4,11,21,18,9,31,28,15,34,22,18,6,12,14,5,3,3,3,10,6,4,17,5,2,0,2,3,2,1,2,3,10,25,31,32,65,46,88,76,7,147,172,162,135,135,60,32,41,28,26,15,13,14,6,14,6,8,11,15,13,14,13,6,0,10,2,2,0,0,0,0,0,0,2,0,2,4,6,3,4,3,0,,,,,,,,,,,,,,
SE110,,,,,,,,,,,,0,67,184,277,393,288,221,246,161,99,119,83,48,66,46,39,25,11,11,3,4,5,0,2,4,2,0,3,2,3,8,5,8,27,52,97,83,105,143,128,50,157,90,111,119,123,66,52,31,15,43,25,32,35,28,30,46,55,28,42,36,28,26,19,14,0,6,1,1,3,5,2,0,0,1,3,0,3,27,9,8,13,26,0,,,,,,,,,,,,,,
BE1,,,,,,,,,,,13,42,122,259,319,256,177,98,68,48,26,20,13,10,7,6,4,5,7,1,3,7,6,13,5,2,6,5,6,23,31,34,73,141,182,131,127,89,69,49,51,26,24,17,20,24,27,24,26,19,14,19,25,40,23,53,50,40,48,52,48,20,19,17,14,8,15,5,7,4,0,2,3,10,7,5,7,13,14,13,10,10,21,19,19,24,22,30,10,,,,,,,,,,
BE2,,,,,,,,,,,4,89,370,784,918,849,588,355,290,164,127,94,65,31,28,19,10,6,7,9,13,18,47,22,15,14,9,16,21,31,61,83,171,374,581,595,551,491,412,417,431,366,309,255,237,273,184,197,178,132,106,105,102,78,97,118,130,117,116,103,91,59,46,40,31,16,13,9,4,0,5,4,14,9,9,15,15,16,16,17,16,20,22,42,44,62,72,91,55,,,,,,,,,,
BE3,,,,,,,,,,,1,72,293,542,743,563,427,248,179,103,81,48,35,18,8,15,11,2,6,5,6,8,24,8,8,3,4,7,13,31,52,123,268,551,672,611,454,303,224,202,175,146,124,117,88,79,86,80,77,62,56,49,46,64,70,86,112,113,118,105,120,65,65,43,41,26,14,14,11,9,4,8,5,7,7,23,13,17,22,14,28,30,22,30,47,66,65,75,53,,,,,,,,,,
CH033,,,,,,,,,0,0,0,1,8,10,8,4,6,4,3,2,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,1,2,1,21,22,24,36,40,40,43,75,83,51,41,27,24,27,10,7,6,5,0,1,7,8,10,5,3,6,11,1,5,2,0,3,1,0,0,0,0,0,0,1,1,0,3,5,4,3,2,4,2,3,1,1,6,2,5,6,1,,,,,,,,,
CH053,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,8,7,2,2,2,5,0,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH054,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,,,,,,,,,
